opearator,operatorcode,flightNo,source,depttime,dest,arrivaltime,days,stop
AirCosta, LBR,LB652,VIZAG,1900,HYDERABAD,1950,1234567,0
AirCosta, LBR,LB671,VIZAG,1310,HYDERABAD,1415,1234567,0
AirCosta, LBR,LB691,VIZAG,850,BANGALORE,1015,1234567,0
AirCosta, LBR,LB666,VIJAYAWADA,715,COIMBATORE,930,1234567,1
AirCosta, LBR,LB666,VIJAYAWADA,715,BANGALORE,815,1234567,0
AirCosta, LBR,LB672,TIRUPATHI,1600,VIZAG,1835,1234567,1
AirCosta, LBR,LB672,TIRUPATHI,1600,HYDERABAD,1700,1234567,0
AirCosta, LBR,LB667,JAIPUR,1435,HYDERABAD,1635,1234567,0
AirCosta, LBR,LB635,JAIPUR,1425,CHENNAI(MADRAS),1700,1234567,0
AirCosta, LBR,LB697,JAIPUR,1430,BANGALORE,1700,1234567,0
AirCosta, LBR,LB672,HYDERABAD,1725,VIZAG,1835,1234567,0
AirCosta, LBR,LB651,HYDERABAD,700,VIZAG,810,1234567,0
AirCosta, LBR,LB671,HYDERABAD,1435,TIRUPATHI,1535,1234567,0
AirCosta, LBR,LB636,HYDERABAD,1150,JAIPUR,1400,1234567,0
AirCosta, LBR,LB667,HYDERABAD,1715,COIMBATORE,1835,1234567,0
AirCosta, LBR,LB652,HYDERABAD,2035,CHENNAI(MADRAS),2215,1234567,0
AirCosta, LBR,LB675,HYDERABAD,705,AHMEDABAD,840,1234567,0
AirCosta, LBR,LB655,COIMBATORE,1900,VIJAYAWADA,2115,1234567,1
AirCosta, LBR,LB636,COIMBATORE,955,HYDERABAD,1115,1234567,0
AirCosta, LBR,LB655,COIMBATORE,1900,BANGALORE,1945,1234567,0
AirCosta, LBR,LB634,CHENNAI(MADRAS),1120,JAIPUR,1355,1234567,0
AirCosta, LBR,LB651,CHENNAI(MADRAS),545,HYDERABAD,640,1234567,0
AirCosta, LBR,LB637,CHENNAI(MADRAS),1725,AHMEDABAD,1945,1234567,0
AirCosta, LBR,LB632,CHENNAI(MADRAS),545,AHMEDABAD,740,1234567,0
AirCosta, LBR,LB692,BANGALORE,1100,VIZAG,1245,1234567,0
AirCosta, LBR,LB655,BANGALORE,2015,VIJAYAWADA,2115,1234567,0
AirCosta, LBR,LB696,BANGALORE,1130,JAIPUR,1405,134567,0
AirCosta, LBR,LB696,BANGALORE,1125,JAIPUR,1405,2,0
AirCosta, LBR,LB666,BANGALORE,840,COIMBATORE,930,1234567,0
AirCosta, LBR,LB613,BANGALORE,1730,AHMEDABAD,1935,1234567,0
AirCosta, LBR,LB676,AHMEDABAD,2005,HYDERABAD,2150,1234567,0
AirCosta, LBR,LB633,AHMEDABAD,2015,CHENNAI(MADRAS),2250,1234567,0
AirCosta, LBR,LB638,AHMEDABAD,810,CHENNAI(MADRAS),1050,1234567,0
AirCosta, LBR,LB614,AHMEDABAD,900,BANGALORE,1105,1234567,0
AirIndia, IAC,AI  487,VIZAG,955,PORT  BLAIR,1205,15,0
AirIndia, IAC,AI  651,VIZAG,1415,MUMBAI  (BOMBAY),1625,1234567,0
AirIndia, IAC,AI  488,VIZAG,1535,DELHI,1810,15,0
AirIndia, IAC,AI  452,VIZAG,815,DELHI,1110,1234567,0
AirIndia, IAC,AI  840,VIJAYAWADA,1745,HYDERABAD,1830,1234567,0
AirIndia, IAC,AI  840,VIJAYAWADA,1745,DELHI,2130,1234567,1
AirIndia, IAC,AI  460,VIJAYAWADA,920,DELHI,1150,1234567,0
AirIndia, IAC,AI  696,VARANASI,1340,MUMBAI  (BOMBAY),1545,1234567,0
AirIndia, IAC,AI  406,VARANASI,1225,KHAJURAHO,1525,136,1
AirIndia, IAC,AI  405,VARANASI,1740,DELHI,1915,1234567,0
AirIndia, IAC,AI  433,VARANASI,1720,DELHI,1900,1234567,0
AirIndia, IAC,AI  419,VARANASI,1230,BHUBANESHWAR,1400,2457,0
AirIndia, IAC,AI  406,VARANASI,1225,AGRA,1355,136,0
AirIndia, IAC,AI  820,VADODARA,2055,DELHI,2235,1234567,0
AirIndia, IAC,AI  644,UDAIPUR,1720,MUMBAI  (BOMBAY),1900,1234567,0
AirIndia, IAC,AI  472,UDAIPUR,1525,DELHI,1650,1234567,0
AirIndia, IAC,AI  668,TRIVANDRUM,2025,MUMBAI  (BOMBAY),2250,1234567,0
AirIndia, IAC,AI  466,TRIVANDRUM,605,DELHI,1055,1234567,1
AirIndia, IAC,AI  466,TRIVANDRUM,605,COCHIN,655,1234567,0
AirIndia, IAC,AI  584,TRIVANDRUM,915,BANGALORE,1020,1234567,0
AirIndia, IAC,AI  541,TIRUPATHI,1425,HYDERABAD,1525,1234567,0
AirIndia, IAC,AI  541,TIRUPATHI,1425,DELHI,1825,1234567,1
AirIndia, IAC,AI  3832,THOISE,820,DELHI,950,37,0
AirIndia, IAC,AI  490,SURAT,2005,DELHI,2155,1234567,0
AirIndia, IAC,AI  447,SRINAGAR,935,LEH,1020,3,0
AirIndia, IAC,AI  822,SRINAGAR,1425,JAMMU,1520,1234567,0
AirIndia, IAC,AI  3822,SRINAGAR,1235,JAMMU,1340,2467,0
AirIndia, IAC,AI  3426,SRINAGAR,1600,DELHI,1735,2467,0
AirIndia, IAC,AI  822,SRINAGAR,1425,DELHI,1730,1234567,1
AirIndia, IAC,AI  826,SRINAGAR,1220,DELHI,1355,1234567,0
AirIndia, IAC,AI  754,SILCHAR,745,KOLKATA,905,1357,0
AirIndia, IAC,AI  418,RANCHI,1350,DELHI,1540,1234567,0
AirIndia, IAC,AI  656,RAJKOT,1745,MUMBAI  (BOMBAY),1855,1234567,0
AirIndia, IAC,AI  651,RAIPUR,1235,VIZAG,1340,1234567,0
AirIndia, IAC,AI  651,RAIPUR,1235,MUMBAI  (BOMBAY),1625,1234567,1
AirIndia, IAC,AI  469,RAIPUR,935,DELHI,1140,1234567,0
AirIndia, IAC,AI  514,PUNE,1525,HYDERABAD,1640,123457,0
AirIndia, IAC,AI  513,PUNE,1155,GOA,1310,123457,0
AirIndia, IAC,AI  854,PUNE,2120,DELHI,2325,1234567,0
AirIndia, IAC,AI  850,PUNE,1930,DELHI,2150,1234567,0
AirIndia, IAC,AI  852,PUNE,745,DELHI,1010,1234567,0
AirIndia, IAC,AI  488,PORT,1245,VIZAG,1455,15,0
AirIndia, IAC,AI  788,PORT,840,KOLKATA,1055,1234567,0
AirIndia, IAC,AI  488,PORT,1245,DELHI,1810,15,1
AirIndia, IAC,AI  3788,PORT,1330,CHENNAI(MADRAS),1540,3,0
AirIndia, IAC,AI  3550,PORT,1330,CHENNAI(MADRAS),1540,6,0
AirIndia, IAC,AI  550,PORT,805,CHENNAI(MADRAS),1020,1234567,0
AirIndia, IAC,AI  416,PATNA,2045,DELHI,2235,1234567,0
AirIndia, IAC,AI  408,PATNA,1525,DELHI,1720,1234567,0
AirIndia, IAC,AI  410,PATNA,935,DELHI,1125,1234567,0
AirIndia, IAC,AI  469,NAGPUR,810,RAIPUR,900,1234567,0
AirIndia, IAC,AI  630,NAGPUR,2105,MUMBAI  (BOMBAY),2235,1234567,0
AirIndia, IAC,AI  628,NAGPUR,800,MUMBAI  (BOMBAY),935,1234567,0
AirIndia, IAC,AI  469,NAGPUR,810,DELHI,1140,1234567,1
AirIndia, IAC,AI  651,MUMBAI,1000,VIZAG,1340,1234567,1
AirIndia, IAC,AI  695,MUMBAI,1040,VARANASI,1305,1234567,0
AirIndia, IAC,AI  643,MUMBAI,1515,UDAIPUR,1645,1234567,0
AirIndia, IAC,AI  667,MUMBAI,1725,TRIVANDRUM,1950,1234567,0
AirIndia, IAC,AI  655,MUMBAI,1550,RAJKOT,1705,1234567,0
AirIndia, IAC,AI  651,MUMBAI,1000,RAIPUR,1200,1234567,0
AirIndia, IAC,AI  629,MUMBAI,1840,NAGPUR,2025,1234567,0
AirIndia, IAC,AI  627,MUMBAI,545,NAGPUR,720,1234567,0
AirIndia, IAC,AI  679,MUMBAI,1015,MANGALORE,1200,1234567,0
AirIndia, IAC,AI  671,MUMBAI,900,MADURAI,1255,1234567,1
AirIndia, IAC,AI  625,MUMBAI,825,LUCKNOW,1055,1234567,0
AirIndia, IAC,AI  774,MUMBAI,1945,KOLKATA,2225,1234567,0
AirIndia, IAC,AI  675,MUMBAI,610,KOLKATA,900,1234567,0
AirIndia, IAC,AI  645,MUMBAI,945,JODHPUR,1145,1234567,0
AirIndia, IAC,AI  647,MUMBAI,1120,JAMNAGAR,1250,1234567,0
AirIndia, IAC,AI  611,MUMBAI,1130,JAIPUR,1325,1234567,0
AirIndia, IAC,AI  635,MUMBAI,755,INDORE,925,1234567,0
AirIndia, IAC,AI  619,MUMBAI,1930,HYDERABAD,2100,1234567,0
AirIndia, IAC,AI  617,MUMBAI,1445,HYDERABAD,1615,1234567,0
AirIndia, IAC,AI  615,MUMBAI,615,HYDERABAD,730,1234567,0
AirIndia, IAC,AI  683,MUMBAI,2010,GOA,2120,1234567,0
AirIndia, IAC,AI  661,MUMBAI,1645,GOA,1810,1234567,0
AirIndia, IAC,AI  663,MUMBAI,1325,GOA,1450,1234567,0
AirIndia, IAC,AI  888,MUMBAI,1900,DELHI,2110,1234567,0
AirIndia, IAC,AI  658,MUMBAI,1800,DELHI,2015,1234567,0
AirIndia, IAC,AI  660,MUMBAI,1700,DELHI,1915,1234567,0
AirIndia, IAC,AI  687,MUMBAI,1600,DELHI,1815,1234567,0
AirIndia, IAC,AI  442,MUMBAI,1455,DELHI,1840,1234567,1
AirIndia, IAC,AI  677,MUMBAI,1300,DELHI,1510,1234567,0
AirIndia, IAC,AI  809,MUMBAI,1000,DELHI,1225,1234567,0
AirIndia, IAC,AI  866,MUMBAI,900,DELHI,1125,1234567,0
AirIndia, IAC,AI  806,MUMBAI,800,DELHI,1015,1234567,0
AirIndia, IAC,AI  635,MUMBAI,755,DELHI,1140,1234567,1
AirIndia, IAC,AI  864,MUMBAI,700,DELHI,905,1234567,0
AirIndia, IAC,AI  637,MUMBAI,1210,COIMBATORE,1415,1234567,0
AirIndia, IAC,AI  657,MUMBAI,1210,COIMBATORE,1415,1234567,0
AirIndia, IAC,AI  681,MUMBAI,1815,COCHIN,2030,1234567,0
AirIndia, IAC,AI  671,MUMBAI,900,CHENNAI(MADRAS),1115,1234567,0
AirIndia, IAC,AI  570,MUMBAI,615,CHENNAI(MADRAS),820,1234567,0
AirIndia, IAC,AI  669,MUMBAI,1110,BHUBANESHWAR,1345,1234567,0
AirIndia, IAC,AI  633,MUMBAI,600,BHOPAL,735,1234567,0
AirIndia, IAC,AI  609,MUMBAI,2015,BANGALORE,2205,1234567,0
AirIndia, IAC,AI  607,MUMBAI,1655,BANGALORE,1850,1234567,0
AirIndia, IAC,AI  639,MUMBAI,910,BANGALORE,1100,1234567,0
AirIndia, IAC,AI  603,MUMBAI,615,BANGALORE,750,1234567,0
AirIndia, IAC,AI  442,MUMBAI,1455,AURANGABAD,1605,1234567,0
AirIndia, IAC,AI  680,MANGALORE,1240,MUMBAI  (BOMBAY),1405,1234567,0
AirIndia, IAC,AI  672,MADURAI,1335,MUMBAI  (BOMBAY),1725,1234567,1
AirIndia, IAC,AI  672,MADURAI,1335,CHENNAI(MADRAS),1440,1234567,0
AirIndia, IAC,AI  626,LUCKNOW,1130,MUMBAI  (BOMBAY),1340,1,0
AirIndia, IAC,AI  626,LUCKNOW,1130,MUMBAI  (BOMBAY),1350,234567,0
AirIndia, IAC,AI  812,LUCKNOW,2105,DELHI,2220,1234567,0
AirIndia, IAC,AI  432,LUCKNOW,1415,DELHI,1530,1357,0
AirIndia, IAC,AI  412,LUCKNOW,850,DELHI,1010,1234567,0
AirIndia, IAC,AI  448,LEH,755,SRINAGAR,850,3,0
AirIndia, IAC,AI  449,LEH,755,JAMMU,850,157,0
AirIndia, IAC,AI  446,LEH,1100,DELHI,1235,1357,0
AirIndia, IAC,AI  3826,LEH,830,DELHI,945,36,0
AirIndia, IAC,AI  3450,LEH,830,DELHI,950,12457,0
AirIndia, IAC,AI  446,LEH,755,DELHI,930,246,0
AirIndia, IAC,AI  753,KOLKATA,550,SILCHAR,705,1357,0
AirIndia, IAC,AI  787,KOLKATA,540,PORT  BLAIR,800,1234567,0
AirIndia, IAC,AI  773,KOLKATA,1600,MUMBAI  (BOMBAY),1845,1234567,0
AirIndia, IAC,AI  676,KOLKATA,945,MUMBAI  (BOMBAY),1235,1234567,0
AirIndia, IAC,AI  3215,KOLKATA,1330,IMPHAL,1455,6,0
AirIndia, IAC,AI  711,KOLKATA,1145,IMPHAL,1430,357,1
AirIndia, IAC,AI  713,KOLKATA,1145,IMPHAL,1310,1246,0
AirIndia, IAC,AI  526,KOLKATA,1900,HYDERABAD,2110,124567,0
AirIndia, IAC,AI  729,KOLKATA,950,GUWAHATI,1110,1234567,0
AirIndia, IAC,AI  733,KOLKATA,835,DURGAPUR,905,135,0
AirIndia, IAC,AI  705,KOLKATA,1000,DIMAPUR,1315,246,1
AirIndia, IAC,AI  709,KOLKATA,1000,DIMAPUR,1140,37,0
AirIndia, IAC,AI  705,KOLKATA,1000,DIBRUGARH,1145,246,0
AirIndia, IAC,AI  709,KOLKATA,1000,DIBRUGARH,1255,37,1
AirIndia, IAC,AI  701,KOLKATA,1730,DELHI,1950,1234567,0
AirIndia, IAC,AI  733,KOLKATA,835,DELHI,1155,135,1
AirIndia, IAC,AI  763,KOLKATA,645,DELHI,910,1234567,0
AirIndia, IAC,AI  765,KOLKATA,1905,CHENNAI(MADRAS),2130,234567,0
AirIndia, IAC,AI  765,KOLKATA,1905,CHENNAI(MADRAS),2130,1,0
AirIndia, IAC,AI  771,KOLKATA,1810,BANGALORE,2045,1234567,0
AirIndia, IAC,AI  721,KOLKATA,1350,BAGDOGRA,1455,1234567,0
AirIndia, IAC,AI  3209,KOLKATA,1330,AIZAWAL,1450,7,0
AirIndia, IAC,AI  711,KOLKATA,1145,AIZAWAL,1305,357,0
AirIndia, IAC,AI  713,KOLKATA,1145,AIZAWAL,1440,1246,1
AirIndia, IAC,AI  3243,KOLKATA,1710,AGARTALA,1815,2467,0
AirIndia, IAC,AI  743,KOLKATA,955,AGARTALA,1100,1234567,0
AirIndia, IAC,AI  405,KHAJURAHO,1600,VARANASI,1655,136,0
AirIndia, IAC,AI  646,JODHPUR,1220,MUMBAI  (BOMBAY),1410,1234567,0
AirIndia, IAC,AI  476,JODHPUR,1435,DELHI,1550,1234567,0
AirIndia, IAC,AI  648,JAMNAGAR,1330,MUMBAI  (BOMBAY),1450,1234567,0
AirIndia, IAC,AI  3821,JAMMU,1420,SRINAGAR,1515,2467,0
AirIndia, IAC,AI  821,JAMMU,1255,SRINAGAR,1345,1234567,0
AirIndia, IAC,AI  450,JAMMU,925,LEH,1020,157,0
AirIndia, IAC,AI  822,JAMMU,1600,DELHI,1730,1234567,0
AirIndia, IAC,AI  612,JAIPUR,1405,MUMBAI  (BOMBAY),1610,1234567,0
AirIndia, IAC,AI  492,JAIPUR,1605,DELHI,1655,1234567,0
AirIndia, IAC,AI  636,INDORE,1640,MUMBAI  (BOMBAY),1810,1234567,0
AirIndia, IAC,AI  635,INDORE,1005,DELHI,1140,1234567,0
AirIndia, IAC,AI  3216,IMPHAL,1535,KOLKATA,1700,6,0
AirIndia, IAC,AI  711,IMPHAL,1510,KOLKATA,1630,357,0
AirIndia, IAC,AI  713,IMPHAL,1350,KOLKATA,1630,1246,1
AirIndia, IAC,AI  890,IMPHAL,1555,GUWAHATI,1650,246,0
AirIndia, IAC,AI  890,IMPHAL,1525,GUWAHATI,1620,1357,0
AirIndia, IAC,AI  890,IMPHAL,1555,DELHI,2005,246,1
AirIndia, IAC,AI  890,IMPHAL,1525,DELHI,1935,1357,1
AirIndia, IAC,AI  713,IMPHAL,1350,AIZAWAL,1440,1246,0
AirIndia, IAC,AI  544,HYDERABAD,1610,VIJAYAWADA,1705,1234567,0
AirIndia, IAC,AI  542,HYDERABAD,1240,TIRUPATHI,1345,1234567,0
AirIndia, IAC,AI  513,HYDERABAD,1005,PUNE,1120,123457,0
AirIndia, IAC,AI  618,HYDERABAD,1700,MUMBAI  (BOMBAY),1835,1234567,0
AirIndia, IAC,AI  616,HYDERABAD,815,MUMBAI  (BOMBAY),945,1234567,0
AirIndia, IAC,AI  620,HYDERABAD,615,MUMBAI  (BOMBAY),750,1234567,0
AirIndia, IAC,AI  525,HYDERABAD,600,KOLKATA,810,1234567,0
AirIndia, IAC,AI  513,HYDERABAD,1005,GOA,1310,123457,1
AirIndia, IAC,AI  840,HYDERABAD,1910,DELHI,2130,1234567,0
AirIndia, IAC,AI  541,HYDERABAD,1605,DELHI,1825,1234567,0
AirIndia, IAC,AI  543,HYDERABAD,940,DELHI,1210,1234567,0
AirIndia, IAC,AI  559,HYDERABAD,640,DELHI,850,1234567,0
AirIndia, IAC,AI  546,HYDERABAD,1630,CHENNAI(MADRAS),1755,1234567,0
AirIndia, IAC,AI  514,HYDERABAD,1720,BANGALORE,1825,1234567,0
AirIndia, IAC,AI  515,HYDERABAD,630,BANGALORE,735,1234567,0
AirIndia, IAC,AI  730,GUWAHATI,1150,KOLKATA,1305,1234567,0
AirIndia, IAC,AI  889,GUWAHATI,1415,IMPHAL,1515,246,0
AirIndia, IAC,AI  889,GUWAHATI,1345,IMPHAL,1445,1357,0
AirIndia, IAC,AI  890,GUWAHATI,1730,DELHI,2005,246,0
AirIndia, IAC,AI  890,GUWAHATI,1700,DELHI,1935,1357,0
AirIndia, IAC,AI  514,GOA,1345,PUNE,1450,123457,0
AirIndia, IAC,AI  662,GOA,1845,MUMBAI  (BOMBAY),2005,1234567,0
AirIndia, IAC,AI  664,GOA,1525,MUMBAI  (BOMBAY),1655,1234567,0
AirIndia, IAC,AI  684,GOA,720,MUMBAI  (BOMBAY),840,1234567,0
AirIndia, IAC,AI  514,GOA,1345,HYDERABAD,1640,123457,1
AirIndia, IAC,AI  433,GAYA,1555,VARANASI,1645,1234567,0
AirIndia, IAC,AI  433,GAYA,1555,DELHI,1900,1234567,1
AirIndia, IAC,AI  734,DURGAPUR,1530,KOLKATA,1605,135,0
AirIndia, IAC,AI  733,DURGAPUR,940,DELHI,1155,135,0
AirIndia, IAC,AI  705,DIMAPUR,1350,KOLKATA,1520,246,0
AirIndia, IAC,AI  709,DIMAPUR,1215,DIBRUGARH,1255,37,0
AirIndia, IAC,AI  709,DIBRUGARH,1330,KOLKATA,1520,1234567,0
AirIndia, IAC,AI  705,DIBRUGARH,1220,KOLKATA,1520,246,1
AirIndia, IAC,AI  705,DIBRUGARH,1220,DIMAPUR,1315,246,0
AirIndia, IAC,AI  451,DELHI,1510,VIZAG,1730,1234567,0
AirIndia, IAC,AI  487,DELHI,655,VIZAG,920,15,0
AirIndia, IAC,AI  544,DELHI,1315,VIJAYAWADA,1705,1234567,1
AirIndia, IAC,AI  459,DELHI,620,VIJAYAWADA,840,1234567,0
AirIndia, IAC,AI  433,DELHI,1340,VARANASI,1645,1234567,1
AirIndia, IAC,AI  406,DELHI,1025,VARANASI,1150,1234567,0
AirIndia, IAC,AI  819,DELHI,1850,VADODARA,2015,1234567,0
AirIndia, IAC,AI  471,DELHI,1330,UDAIPUR,1445,1234567,0
AirIndia, IAC,AI  542,DELHI,950,TIRUPATHI,1345,1234567,1
AirIndia, IAC,AI  3831,DELHI,550,THOISE,740,37,0
AirIndia, IAC,AI  489,DELHI,1745,SURAT,1925,1234567,0
AirIndia, IAC,AI  821,DELHI,1105,SRINAGAR,1345,1234567,1
AirIndia, IAC,AI  3425,DELHI,1035,SRINAGAR,1155,2467,0
AirIndia, IAC,AI  825,DELHI,1015,SRINAGAR,1140,1234567,0
AirIndia, IAC,AI  417,DELHI,1110,RANCHI,1310,1234567,0
AirIndia, IAC,AI  469,DELHI,545,RAIPUR,900,1234567,1
AirIndia, IAC,AI  853,DELHI,1840,PUNE,2040,1234567,0
AirIndia, IAC,AI  849,DELHI,1640,PUNE,1850,1234567,0
AirIndia, IAC,AI  851,DELHI,500,PUNE,710,1234567,0
AirIndia, IAC,AI  487,DELHI,655,PORT  BLAIR,1205,15,1
AirIndia, IAC,AI  415,DELHI,1840,PATNA,2010,1234567,0
AirIndia, IAC,AI  407,DELHI,1310,PATNA,1450,1234567,0
AirIndia, IAC,AI  409,DELHI,720,PATNA,855,1234567,0
AirIndia, IAC,AI  469,DELHI,545,NAGPUR,735,1234567,0
AirIndia, IAC,AI  602,DELHI,2100,MUMBAI  (BOMBAY),2310,1234567,0
AirIndia, IAC,AI  805,DELHI,2000,MUMBAI  (BOMBAY),2215,1234567,0
AirIndia, IAC,AI  624,DELHI,1900,MUMBAI  (BOMBAY),2115,1234567,0
AirIndia, IAC,AI  441,DELHI,1800,MUMBAI  (BOMBAY),2200,1234567,1
AirIndia, IAC,AI  636,DELHI,1430,MUMBAI  (BOMBAY),1810,1234567,1
AirIndia, IAC,AI  863,DELHI,1300,MUMBAI  (BOMBAY),1515,1234567,0
AirIndia, IAC,AI  865,DELHI,1000,MUMBAI  (BOMBAY),1215,1234567,0
AirIndia, IAC,AI  657,DELHI,900,MUMBAI  (BOMBAY),1105,1234567,0
AirIndia, IAC,AI  665,DELHI,800,MUMBAI  (BOMBAY),1005,1234567,0
AirIndia, IAC,AI  887,DELHI,700,MUMBAI  (BOMBAY),905,1234567,0
AirIndia, IAC,AI  811,DELHI,1915,LUCKNOW,2035,1234567,0
AirIndia, IAC,AI  431,DELHI,1215,LUCKNOW,1330,1234567,0
AirIndia, IAC,AI  411,DELHI,710,LUCKNOW,815,1357,0
AirIndia, IAC,AI  3449,DELHI,625,LEH,750,12457,0
AirIndia, IAC,AI  3825,DELHI,625,LEH,750,36,0
AirIndia, IAC,AI  445,DELHI,555,LEH,715,1234567,0
AirIndia, IAC,AI  764,DELHI,1700,KOLKATA,1920,1234567,0
AirIndia, IAC,AI  734,DELHI,1245,KOLKATA,1605,135,1
AirIndia, IAC,AI  401,DELHI,700,KOLKATA,910,1234567,0
AirIndia, IAC,AI  475,DELHI,1240,JODHPUR,1400,1234567,0
AirIndia, IAC,AI  821,DELHI,1105,JAMMU,1220,1234567,0
AirIndia, IAC,AI  491,DELHI,1425,JAIPUR,1530,1234567,0
AirIndia, IAC,AI  636,DELHI,1430,INDORE,1605,1234567,0
AirIndia, IAC,AI  889,DELHI,1105,IMPHAL,1515,246,1
AirIndia, IAC,AI  889,DELHI,1035,IMPHAL,1445,1357,1
AirIndia, IAC,AI  839,DELHI,2055,HYDERABAD,2305,1234567,0
AirIndia, IAC,AI  544,DELHI,1315,HYDERABAD,1530,1234567,0
AirIndia, IAC,AI  542,DELHI,950,HYDERABAD,1200,1234567,0
AirIndia, IAC,AI  560,DELHI,645,HYDERABAD,900,1234567,0
AirIndia, IAC,AI  889,DELHI,1105,GUWAHATI,1335,246,0
AirIndia, IAC,AI  889,DELHI,1035,GUWAHATI,1305,1357,0
AirIndia, IAC,AI  433,DELHI,1340,GAYA,1520,1234567,0
AirIndia, IAC,AI  734,DELHI,1245,DURGAPUR,1500,135,0
AirIndia, IAC,AI  657,DELHI,900,COIMBATORE,1415,1234567,1
