HOTEL NAME,STATE,PHONE,FAX,EMAIL ID,WEBSITE,TYPE,Rooms,ADDRESS
The Palace,HIMACHAL PRADESH,1772652704,1772652206,maltidutta50@yahoo.com,NA,Heritage Basic,31,"""Chail, Solan,HIMACHAL PRADESH"""
The Castle Naggar,HIMACHAL PRADESH,1902248316,1902223429,castle@hptddc.in/kullu@hptdc.in,wwwhptdc.nic.in,Heritage Basic,17,"""Naggar, Distt. Kullu - 175130, HIMACHAL PRADESH"""
Hotel Cherthala House,KERALA,0475-2223688,,housecherthala@hotmail.com,NA,Heritage Basic,5,"""Court JunctionEast of P.M.C. - 5, cherthala - 688 524, KERALA"""
Heritaga Methanam,KERALA,4842248284,4842248284,heritagemethanam@gmail.com/info@heritagemethanam.com,www.heritagemethanam.com,Heritage Basic,7,"""K P XI / 298Near Perumpadappu, Kumbalanghi Bridge, Kumbalanghi P.O., Kochi - 682 007, KERALA"""
Old Lighthouse Bristow Hotel ,KERALA,4843050102,NA,reservations@oldlighthousehotel.com,NA,Heritage Basic,11,"""Beach Road Next to SBI Training Center Fort Kochi , Cochin , KERALA"""
Hotel Le Colonial ,KERALA,4842217181,4842217184,lecolonial@dataone.in,NA,Heritage Basic,8,"""1/215, Church Road, Vasco-da-Gama Square, Fort Cochin , KERALA"""
Kunnathur Mana Ayurveda Heritage,KERALA,"0487 2547552, 254755",4872547554,mail@kmaheritage.com,NA,Heritage Basic,7,"""Door No.VIII/666 Punnayurkulam P.O. Thrissur Dist, Kerala, KERALA"""
Old Harbour Hotel,KERALA,4842218006,NA,raintree@fortcochin.com,NA,Heritage Basic,13,"""No-1/328, Tower Road, Fort Kochi , Kochi , KERALA"""
Coconut Lagoon,KERALA,0481-2524491-2524373,0481-2524495,coconutlagoon@cghearth.com,www.cghearth.com,Heritage Basic,36,"""P.O. Box No. 2Kumarakom, Kottayam - 686563, KERALA"""
Beach Hotel,KERALA,0495-2762055-57,0495-2365363,info@beachheritage.com,www.beachheritage.com,Heritage Basic,6,"""(Beach Heritage Inn (P) Ltd.)Beach Road, Kozhikode - 673032, KERALA"""
Palakkad Heritage Hotels,KERALA,4923252143,4923252144,info@palakkadheritagehotel.com,www.palakkadheritagehotel.com,Heritage Basic,5,"""Koduvayur P.O.Palakkad, Dist., KERALA """
Somatheeram Ayurvedic Beach Resort (P) Ltd.,KERALA,0471-2268101,0471-2267600,mail@somatheeram.in,www.somatheeram.in,Heritage Basic,42,"""P.O. ChowaraVia Balaramapuram, Thiruvananthapuram - 695501, KERALA"""
The Hillway Heritage,KERALA,4702673555,NA,mail@hillwayhotels.com,www.hillwayhotels.com,Heritage Basic,6,"""Opp. Police Station, State Highway - 1Kilimanoor P.O., Thiruvananthapuram - 695601, KERALA"""
Ahilya Fort ,MADHYA PRADESH,7283273329,NA,info@ahilyafort.com,www.ahilyafort.com,Heritage Basic,15,"""Ahilya Fort, Maheshwar, W Nimar , Bhopal , MADHYA PRADESH"""
Hotel Rock End Manor ,MADHYA PRADESH,7552774340,7552779476,info@mptourism.com,www.mptourism.com,Heritage Basic,6,"""Pachmarhi Distt. ,HOSHANGABAD , MADHYA PRADESH"""
Satpura Retreat,MADHYA PRADESH,07578-252097,NA,satpura@mptourism.com,www.mptourism.com,Heritage Basic,6,"""Pachmarhi, Dist. Hosangabad, MADHYA PRADESH"""
Hotel Sheesh Mahal ,MADHYA PRADESH,7552774340,7552779476,info@mptourism.com,www.mptourism.com,Heritage Basic,8,"""MPSTDC, Orchha, Tikamgarh Dist. , MADHYA PRADESH"""
Jehan Numa Palace Hotel ,MADHYA PRADESH,755661100,755661720,NA,www.hoteljehanumapalace.com,Heritage Basic,98,"""157, SHAMLA HILL(M.P) , Bhopal , MADHYA PRADESH"""
LE DUPLEIX ,PONDICHERRY,4132666001,4132334258,gmldp@sarovarhotels.com,NA,Heritage Basic,21,"""(unit of auberge Heritage Hotels) 5, CASERNE STREET , Pondicherry, PONDICHERRY"""
Calve,,0413-2224103-2223738,413-2222613,whclve@gmail.com/calve@vsnl.net,www.calve.in,Heritage Basic,11,"""A Heritage HotelOld No. 36, New No. 44, Vysial Street, Puducherry - 605 001, PUDUCHERRY"""
"Welcome Heritage, Khimsar Fort",RAJASTHAN ,1585262345,1585262228,reservation@khimsar.com,NA,Heritage Basic,67,"""Khimsar, RAJASTHAN """
The Bagh ,RAJASTHAN ,1733253072,1733253072,contact@thefortramgarh.com,NA,Heritage Basic,29,"""Agra Achnara Road Pucca Bagh Bharatpur, Bharatpur, RAJASTHAN """
Gajner Palace,RAJASTHAN,01534-275061-9,01534-275060,egmnr@gajner.hrhindia.com,www.hrhindia.com,Heritage Basic,45,"""P.O. GajnerTehsil : Kolayat, Bikaner - 334001, RAJASTHAN"""
The Laxmi Niwas Palace ,RAJASTHAN,8322226523,8322435220,panjimin@bsnl.in,NA,Heritage Basic,24,"""(A Unit of Golden Triangle Fort and Palace Pvt. Ltd.) Dr. Karni Singhji Road ,Bikaner ,RAJASTHAN"""
Chomu Palace,RAJASTHAN ,01423-300400,01423-300400,gm@chomupalacehotel.com/info@chomupalacehotel.com,www.chomupalacehotel.com,Heritage Basic,58,"""Near Main ChomuBus Stand, Chomu - 303702, RAJASTHAN"""
Bissau Palace ,RAJASTHAN ,1412304371,1412304628,bissau@sancharnet.in,www.bissaupalace.com,Heritage Basic,50,"""Outside Chandpole Gate , Jaipur, RAJASTHAN"""
Deogarh Resorts,RAJASTHAN ,02904-252777,02904-252555,deogarh@datainfosys.net,www.deogarhmahal.com,Heritage Basic,45,"""Deogarh MahalP.O. Deogarh Madariya, Distt. Rajsamand - 313331, RAJASTHAN"""
Shikarbadi Hotel,RAJASTHAN ,0294-2583200/04,0294-2584841,shikarbadi@hrhhotels.com,www.hrhhotels.com,Heritage Basic,25,"""Goverdhan Vilas, Udaipur - 313001, RAJASTHAN"""
Welcom Heritage - Koolwal Kothi,RAJASTHAN ,01594-225817,01594-225818,indralokhotels@hotmail.com/holidays@welcomheritagehotels.com,www.welcomheritagehotels.com,Heritage Basic,10,"""House No. 40,Near Government Hospital RoadNawal Garh District, Jhunjhunu, RAJASTHAN"""
Ajit Bhawan,RAJASTHAN ,"0291-2513333, 251141",0291-2510674,reservations@ajitbhawan.com,www.ajitbhawan.com,Heritage Basic,70,"""Near Circuit House, Jodhpur - 342 006, RAJASTHAN"""
Hotel Samode Palace,RAJASTHAN,01423-240014,01423-240023,reservations@samode.com,www.samode.com,Heritage Basic,43,"""Village Samode, Dist. Jaipur - 303806, RAJASTHAN"""
Raj Niwas Palace,RAJASTHAN,05642-220216,05642-224888,info@dholpurpalace.com,www.dholpurpalace.com,Heritage Basic,20,"""National Highway-3, Dholpur - 328 001, RAJASTHAN"""
Hotel Castle Mandawa Pvt.Ltd.,RAJASTHAN,0141-2371194/2374112,0141-2372084,reservation@castlemandawa.com/castle@datainfosys.net,www.castlemandawa.com,Heritage Basic,70,"""MandawaJhunjhunu District, Shekhawati - 333704, RAJASTHAN"""
Rohet Garh,RAJASTHAN,2936268231,2912649368,rohethouse@dataone.in,NA,Heritage Basic,34,"""Village P.O RohetDistt. Pali, Rajasthan, RAJASTHAN"""
Lake Pichola Hotel,RAJASTHAN,2942431197,9242430575,maltidutta50@yahoo.com,NA,Heritage Basic,32,"""Piplia Haveli, Out Side ChandpoleUdaipur, Rajasthan, Udaipur, RAJASTHAN"""
The Ramgarh Lodge,RAJASTHAN,01426-214027/214097,01426-252079,ramgarh.jaipur@tajhotels.com,NA,Heritage Basic,14,"""Ramgarh LakeJamwa Ramgarh, Jaipur - 303109, RAJASTHAN"""
Hotel Indra Villas ,RAJASTHAN,1595275567,1595275567,info@indravilasalsisar.com,NA,Heritage Basic,43,"""A unit of Desert Heritage Resorts Pvt. Ltd. Ward No.2, Village Alsisar , JHUNJHUNU , RAJASTHAN"""
Singhasan Haveli,RAJASTHAN,1126124069,1126124073,info@singhasanhaveli.com,NA,Heritage Basic,26,"""Goenka Chowk, Mandawa,Dist., JHUNJHUNU, RAJASTHAN"""
Fort Khejarla,RAJASTHAN,02930-258485 - 25848,02930-258485,khejarlafort@gmail.com,www.jodhpurforkhejarla.com,Heritage Basic,38,"""(Aunit of Bhandari Heritage Pvt. Ltd.)Village Khejarla, Via Bilara, Distt. Jodhpur - 342601, RAJASTHAN"""
Sardargarh Heritage Hotel ,RAJASTHAN,1592223137,1592223137,hotelmandawa@yahoo.co.in,NA,Heritage Basic,24,"""Sardargarh Fort, Village-Lawa Sardargarh Sardargarh, Dist:-Rajsamand , Rajsamand , RAJASTHAN"""
The Sawai Madhopur Lodge,RAJASTHAN,07462-220541,07462-220718,vivanta.sawaimadhopur@tajhotels.com,NA,Heritage Basic,36,"""Ranthambore National Park Road, Sawai Madhopur - 302 005, RAJASTHAN"""
Karni Bhawan Palace ,RAJASTHAN,1512524701,1512522408,karnihotels@satam.net.in,NA,Heritage Basic,12,"""Gandhi Colony Bikaner ,Bikaner ,RAJASTHAN"""
Norkhill Hotel ,SIKKIM,3592205637,3592205639,norkhill@elginhotels.com,www.elginhotels.com,Heritage Basic,25,"""Stadium Road, Gangtok , SIKKIM"""
Visalam,TAMIL NADU,"04565277301, 2",4565273111,visalam@cghearth.com,NA,Heritage Basic,15,"""7/1/143 LOCAL FUND ROAD, KANADUKATHAN KARAIKUDI, TAMIL NADU, KARAIKUDI, TAMIL NADU"""
Hotel Fairhavens Holiday Home,UTTARAKHAND,5942236057,5942236604,fairhavens@rediffmail.com,NA,Heritage Basic,30,"""Adacent to Head Post Office Mallital, Nainital, UTTARAKHAND"""
The Naini Retreat,UTTARAKHAND,05942-235105,05942-235103,info@leisurehotels.co.in/bookings@leisurehotels.in,NA,Heritage Basic,32,"""Ayarapatta Sloppes, Nainital - 263001, UTTARAKHAND"""
The Elgin Hotel,WEST BENGAL,3542257226,3542254267,reservation@elginhotels.com,NA,Heritage Basic,20,"""18, H.D. Lama Road, P.O. Darjeeling, WEST BENGAL"""
Taj Falaknuma Palace ,ANDHRA PRADESH,4066298585,4066298586,falaknuma.hyderabad@tajhotels.com,NA,5 Star Deluxe,60,"""Engine Bowli, Falaknuma , Hyderabad, ANDHRA PRADESH"""
ITC HOTEL KAKATIYA,ANDHRA PRADESH,402340032,4023401045,itckakatiya@itchotel.in,NA,5 Star Deluxe,188,"""6-3-1187,BEGUMPETnull, Hyderabad, ANDHRA PRADESH"""
Eros Hotel Managed by Hilton,DELHI,011-41223344,011-26224288,nehruplace.reservations@hilton.com,www3.hilton.com,5 Star Deluxe,216,"""S-1American Plaza, International Trade Tower, Nehru Place, New Delhi - 110 019, DELHI"""
The Ashok,DELHI,011-26110101,011-26873216,ashoknd@ndb.vsnl.net.in,www.theashok.com,5 Star Deluxe,550,"""50-BChanakyapuri, New Delhi - 110021, DELHI"""
Hotel Imperial,DELHI,011-23341234,011-23342255,luxury@theimperialindia.com,www.theimperialindia.com,5 Star Deluxe,233,"""Janpath, New Delhi - 110001, DELHI"""
Hyatt Regency Delhi,DELHI,011-26791234,011-26791017,delhi.regency@hyatt.com,NA,5 Star Deluxe,508,"""Bhikaji Cama Place, New Delhi - 110066, DELHI"""
ITC-The Maurya,DELHI,011-26112233,011-26113333,reservations.itcmaurya@itchotels.in,NA,5 Star Deluxe,440,"""ITC LimitedDiplomatic Enclave, New Delhi - 110021, DELHI"""
Le Meridien Hotel,DELHI,1123710101,1123714545,info@lemeridien-newdelhi.com,NA,5 Star Deluxe,358,"""8, Windsor Place Janpath, New Delhinull, New Delhi, DELHI"""
Taj Palace Hotel ,DELHI,1126110202,1126110808,palace.delhi@tajhotels.com,NA,5 Star Deluxe,409,"""Sardar Patel Marg , New Delhi ,DELHI"""
The Lalit,DELHI,011-44447777,011-44441234,newdelhi@thelalit.com,NA,5 Star Deluxe,457,"""Barakhamba AvenueConnaught Place,New Delhi - 110001, DELHI"""
The Oberoi -  New Delhi,DELHI,011-24363030,011-24360484,reservations@oberoigroup.com,NA,5 Star Deluxe,283,"""Dr. Zakir Hussain Marg, New Delhi - 110003,DELHI"""
"Aman, New Delhi",DELHI,1143633333,1143633335,amannewdelhi@amanresorts.com,NA,5 Star Deluxe,68,"""Lodhi Road, New Delhi - 110003, DELHI"""
The Hotel Leela Palace Kempinski,DELHI,"011-39331234, 1126779090",011-39331235,reservations.newdelhi@theleela.com,NA,5 Star Deluxe,260,"""Diplomatic Enclave, New Delhi - 110023,DELHI, National Highway No. 8, New Delhi-110037, DELHI"""
Riviera De Goa Resort,GOA,0832-6655666,0832-2277503,mail@rivieradegoaresorts.com,NA,5 Star Deluxe,104,"""Shimer VaddoXimer, Arpora - 403 518, GOA"""
Vivanta by Taj - Panaji,GOA,0832-6633636,0832-6633600,vivanta.panaji@tajhotels.com,NA,5 Star Deluxe,172,"""Off. D.B. Bandodkar RoadSt. Inez, Panaji - 403001, GOA"""
Vivanta by Taj - Holiday,GOA,0832-6645858,0832-6645502,vivanta.holidayvillage@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,142,"""(Earlier known as The Taj Holiday Village)Dando, Candolim, Bardez - 403 515, GOA"""
Bell Tower Resorts Pvt.Ltd. ,GOA,8322772996,8322772996,NA,NA,5 Star Deluxe,106,"""Bell Tower Resorts Pvt.Ltd. (Retreat by Zuri) Pedda, Uttor Doxi, Varca Salcatte-Goa-403721 , Salcete , GOA"""
Hotel Ramada Caravela Beach Resort,GOA,0832-6695000,0832-6695699,caravela.gr@advanihotels.com/reservations.gr@advanihotels.com,www.caravelabeachresort.com,5 Star Deluxe,200,"""Varca Beach, Salcete - 403721, GOA"""
Vivanta By Taj- Fort Aguada,GOA,0832-6645858,0832-6645868,vivanta.fortaguada@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,145,"""Sinquerim, Bardez - 403519, GOA """
Th Lalit Golf & Spa Resort Goa,GOA,8322667777,8322667711,goaresv@thelalit.com,NA,5 Star Deluxe,225,"""(Bharat Hotels Ltd.)Raj Baga,Canacona, GOA"""
Resort Rio,GOA,8322267300,8322267301,gm@resortrio.com,NA,5 Star Deluxe,82,"""Resort Rio, Tambudki,Arpora, Bardez, GOA"""
Hotel Cidade de Goa,GOA,8322454545,08322454541/42,cidadedegoa@cidadedegoa.com,www.cidadedegoa.com,5 Star Deluxe,205,"""(Unit of Fomento Resorts & Hotels Ltd.), Vainguinim Beach - 403004, GOA"""
Majorda Beach Resort,GOA,0832-288111/6681111,0832-2881121/2881124,acc@majordabeachresortgoa.com,www.majordabeachresort.com,5 Star Deluxe,120,"""MajordaSalcette, Goa - 403713, GOA"""
"The Leela Kempinski, Goa",GOA,8326621234,8322871352,reservations.goa@theleela.com,www.theleela.com,5 Star Deluxe,186,"""MoborCavelossim, Salcette - 403731, GOA"""
Hotel Trident - Gurgaon,HARYANA,0124-2450505,0124-2450606,reservations@tridenthotels.com,NA,5 Star Deluxe,136,"""Plot No. 443, Udyog ViharPhase - V, Gurgaon - 122016, HARYANA"""
The Leela Kempinski -  Gurgaon,HARYANA,1244771234,1244771235,reservations.gurgaon-delhi@theleela.com,NA,5 Star Deluxe,412,"""(Ambience Hotels & Resorts Ltd.) Village Nathupur, N.H.-8 Gurgaon, Gurgaon, HARYANA"""
The Bristol Hotel,HARYANA,0124-2356030,0124-2357834,contact@thebristolhotel.com,www.thebristolhotel.com,5 Star Deluxe,84,"""Adjacent to DLFQutab Enclave Phase - 1, Gurgaon - 122002, HARYANA"""
Wildflower Hall,HIMACHAL PRADESH,0177-2648585,0177-2648686,reservations@oberoigroup.com,www.oberoihotels.com,5 Star Deluxe,85,"""(Mashobara Resort Limited, A Unit of EIH Limited)Chharabra, Shimla - 171 012, HIMACHAL PRADESH"""
Vivanta by Taj -  Whitefield,KARNATAKA,080-66933333,080-66933344,vivanta.whitefield@tajhotels.com,NA,5 Star Deluxe,199,"""ITBP Whitefield, Bangalore - 560066, KARNATAKA"""
Hotel Golden Palms Hotel & Spa,KARNATAKA,8023712222,8023710022,info@goldenpalmshotel.com,NA,5 Star Deluxe,170,"""NO-31 & 32 GOLDEN PALMS AVENUE OFF TUMKUR ROAD BANGALORE,  KARNATAKA"""
ITC Hotel Windsor & Towers ,KARNATAKA,802269898,802264941,www.welcomgroup.com,NA,5 Star Deluxe,240,"""WINDSOR SQUARE, 25 GOLF COURES ROAD, Bangalore , KARNATAKA"""
The Taj West End,KARNATAKA,8066605660,8066605700,westend.bengalore@tajhotels.com,NA,5 Star Deluxe,117,"""Race Course Road Bangalore, KARNATAKA"""
Sheraton Banglore at Brigade Gateway,KARNATAKA,918041379200,918022210748,diwaker.tyagi@shraton.com,www.brigadegroup.com,5 Star Deluxe,230,"""26/1, Rajajinagar ExtensionDr. Rajkumar Road, Malleswaram West, Bangalore, KARNATAKA"""
The Oberoi Bangalore,KARNATAKA,918025585858,918025585960,reservations@oberoiblr.com,NA,5 Star Deluxe,160,"""39 Mahatma Gandhi RoadBanglore-560001, Bangalore, KARNATAKA"""
Vivanta by Taj -  Bangalore,KARNATAKA,0806660 4444,0806661 4444,vivanta.mgroad@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,167,"""41/3M.G. Road, Bangalore - 560001, KARNATAKA"""
Park Plaza,KARNATAKA,42197330,8042452346,sonusarmag@gmail.com,NA,5 Star Deluxe,218,"""NO. 5 Defence Colony,1st main, Indirangar, KARNATAKA"""
Dream Hotel Cochin,KERALA,4844129999,4844129898,reservations@dreamcochin.com,NA,5 Star Deluxe,150,"""37/985, C&D, Sahodaran Ayyappan Road Elamkulam Jnction, Kadavanthara cochin-682020, Cochin, KERALA"""
Vivanta by Taj - Bekal ,KERALA,4672265656,4672265655,tkhanna99@gmail.com,NA,5 Star Deluxe,73,"""A Unit of Khanna Hotels PVt. LTd. BRDC Site No. 5, Kappil Beach P.O. Udma West Kasaragod - 671319, Kasaragod , KERALA"""
The Lalit Resorts & Spa Bekal,KERALA,4672237777,4672237575,resvbekal@thelalit.com,NA,5 Star Deluxe,39,"""Bevoori, Udma, Taluka: Hosedurgh Distt: Kasargod Kerala, Kasaragod , KERALA"""
Vivanta By Taj - Kovalam,KERALA,0471-6613000,0471-2487744,Vivanta.kovalam@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,59,"""(Formerly known as Taj Green Cove Kovalam)G V Raja Vattappara Road, Kovalam, Thiruvananthapuram - 695 527, KERALA"""
Vivanta by - Taj Malabar ,KERALA,4846643000,4846643182,malabar.cochin@tajhotels.com,NA,5 Star Deluxe,96,"""Willingdon Island , Cochin , KERALA"""
The Raviz Kollam,KERALA,4742751111,4742741111,info@theraviz.com,www.theraviz.com,5 Star Deluxe,93,"""Kollam Royal Park Hotel And Resorts P LtdMathilil, Kollam, KERALA"""
Kovalam Resort Private Limited,KERALA,4713051234,4712481043,reservations.kovalam@theleela.com,NA,5 Star Deluxe,127,"""The Leela Kovalam,Kerala, Thiruvananthapuram, KERALA"""
The Grand Temple View ,MADHYA PRADESH,786272333,786272123,khajraho@thegrandhotels.net,NA,5 Star Deluxe,47,"""Opp. Circuit House , Khajuraho , MADHYA PRADESH"""
Hotel Chandela,MADHYA PRADESH,"07686-272355, 272364","07686-272365, 272366",chandela.khajuraho@tajhotels.com,NA,5 Star Deluxe,90,"""Airport RoadDist. Chhatarpur, Khajuraho - 471606, MADHYA PRADESH"""
Chalet Hotel,MAHARASHTRA,2227817777,2227817979,reservations@fourpointsvashi.com,NA,5 Star Deluxe,118,"""Plot no.39/1 6 to 15 Sector 30 AVashi Navi Mumbai, Mumbai, MAHARASHTRA"""
Four Seasons Hotel,MAHARASHTRA,2266627770,2266627437,reservations.mumbai@fourseasons.com,NA,5 Star Deluxe,202,"""(Unit of Mogus Estates & Hotels Ltd.) Plot NO.114,Dr.E.Moses Road Worli, Mumbai, MAHARASHTRA"""
HOTEL SAHARA STAR ,MAHARASHTRA,2239895000,2239895001,www.saharastar.com,NA,5 Star Deluxe,210,"""DOMESTIC AIRPORT, VILE PARLE (E), MUMBAI , MAHARASHTRA"""
Hyatt Regency Mumbai,MAHARASHTRA,022-66961234,022-66961235,mumbai.regency@hyatt.com,www.mumbai.regency.hyatt.com,5 Star Deluxe,401,"""Sahar Airport RoadAndheri (East), Mumbai - 400 099, MAHARASHTRA"""
Le Royal Meridien ,MAHARASHTRA,2228380000,2228204399,lmmumbai@vsnl.com,NA,5 Star Deluxe,171,"""SAHAR AIRPORT ROAD ANDHERI (E) , Mumbai , MAHARASHTRA"""
Sun-n-Sand Hotels Pvt. Ltd.,MAHARASHTRA,022-26201811-6693888,022-26202170,reservations@sunnsandhotel.com,www.sunnsandhotel.com,5 Star Deluxe,120,"""39Juhu Beach, Mumbai - 400 049, MAHARASHTRA"""
The Taj Mahal Palace & Tower ,MAHARASHTRA,2266653366,2266650300,tmhbc.bom@tajhotels.com,www.tajhotels.com,5 Star Deluxe,565,"""Apollo Bunder , Mumbai , MAHARASHTRA"""
Hotel Le Meridien,MAHARASHTRA,2026050505,2026050506,lmpune@lemeridien-pune.com,www.lemeridien-pune.com,5 Star Deluxe,117,"""R.B.M. Road, Pune - 411001, MAHARASHTRA"""
Hotel ITC Grand Central,MAHARASHTRA,2224101010,2224101111,itcgrandcentral@itchotels.in,NA,5 Star Deluxe,242,"""287, Babasaheb Ambedkar RoadParel,Mumbai-400012, MAHARASHTRA"""
The Leela Kempinski,MAHARASHTRA,022-66911234,022-66911212,reservations.mumbai@theleela.com,www.theleela.com,5 Star Deluxe,393,"""Sahar, Mumbai - 400 059, MAHARASHTRA"""
"The Oberoi, Mumbai",MAHARASHTRA,022-66325757-6632434,022-66324142,reservations@oberoigroup.com,www.oberoihotels.com,5 Star Deluxe,287,"""Nariman Point, Mumbai - 400021, MAHARASHTRA"""
The Westin Mumbai Garden City ,MAHARASHTRA,2261470000,2261470101,mumbaigardencity@westin.com,NA,5 Star Deluxe,269,"""Oberoi Garden City, International Business Park, Off Western Express Highway, Goregaon (East) , Mumbai , MAHARASHTRA"""
"Fariyas Resort, Lonavla",MAHARASHTRA,02114-273852-55,02114-272080,fhrl@fariyas.com,www.fariyas.com,5 Star Deluxe,105,"""Frichley HillsTungarli, Lonavla - 410401, MAHARASHTRA"""
"Trident, Nariman Point",MAHARASHTRA,022-66324343,022-66325000,reservations@tridenthotels.com,www.tridenthotels.com,5 Star Deluxe,550,"""Nariman Point, Mumbai - 400 021, MAHARASHTRA"""
Taj Lands End,MAHARASHTRA,022-66681234,022-66680957 - 66994,landsend.mumbai@tajhotels.com,www.tajhotels.com,5 Star Deluxe,493,"""B.J. RoadBand Stand, Bandra (West), Mumbai - 400050, MAHARASHTRA"""
Trident -  Bhubaneswar ,ORISSA,6742301010,6742301302,reservations@tridenthotels.com,NA,5 Star Deluxe,62,"""CB - 1 Nayapalli, Bhubaneshwar , ORISSA"""
Hotel Mayfair Lagoon,ORISSA,91 674 6660101,91 674 2360236,lagoon@mayfairhotels.com,www.mayfairhotels.com,5 Star Deluxe,102,"""8-BJaydev Vihar, Bhubaneswar, ORISSA"""
ISTA Amritsar,PUNJAB,0183-2708888,"0183-2700186, 270999",sales@istaamritsar.com/reservations.amritsar@istahotels.com,www.istahotels.com,5 Star Deluxe,248,"""G.T. Road(Adjoining Alpha One City Centre), Amritsar - 143 001, PUNJAB"""
Sheraton Rajputana Hotel,RAJASTHAN,1415100100,1415102102,reservations.itcrajputana@itchotels.in,sheratonrajputana@itcwelcomgroup.in,5 Star Deluxe,218,"""Palace Road, Jaipur-302006, RAJASTHAN"""
The Oberoi Rajvilas,RAJASTHAN,1412680101,1412680202,reservations@oberoigroup.com,www.oberoihotels.com,5 Star Deluxe,71,"""Goner Road, Jaipur - 303012, RAJASTHAN"""
The Oberoi Udaivilas ,RAJASTHAN,2942433300,2942433200,reservations@oberoigroup.com,NA,5 Star Deluxe,87,"""Haridas Ji Ki Magri , Udaipur , RAJASTHAN"""
Country Inn & Suites By Carlson,RAJASTHAN,2222686,2222193,mail@goyalfashions.net,NA,5 Star Deluxe,100,"""Country Inn & Suites By Carlson (A unit of Shivani Enclaves Pvt.,Khasa Kothi Circle M.I.Road, Jaipur, RAJASTHAN"""
The Leela Palace Kempinski,RAJASTHAN,0294-6701234,0294-6701212,businesscentre@theleela.com,www.theleela.com,5 Star Deluxe,80,"""P.O. Box No. 125Lake Pichola, Udaipur - 313 001, RAJASTHAN"""
JAI MAHAL PALACE HOTEL,RAJASTHAN,1416601111,1416601057,jaimahal.jaipur@tajhotels.com,tajhotels.com,5 Star Deluxe,100,"""JACOB ROAD,CIVIL LINES, Jaipur, RAJASTHAN"""
Mayfair Spa & Resort,SIKKIM,0359-2250555/666,0359-2251009,gangtok@mayfairhotels.com,NA,5 Star Deluxe,63,"""(Unit of Mayfair Hotels & Resorts (Sikkim) Pvt. Ltd.)Lower Samdur Block, Ranipool - 737135, Gangtok, SIKKIM"""
Taj Mount Road,TAMIL NADU,044-66313131,044-66313030,clubhouse.chennai@tajhotels.com/mountroad.chennai@tajhotels.com,NA,5 Star Deluxe,220,"""No. 2Club House Road, Chennai - 600 002, TAMIL NADU"""
